Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0163977810461998,-0.000424816867342437,0.078525694814142,0,0,0,0.32613215710018,0,0,0,0,0,0,0,0,0,0,0,0,package://delto/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://delto/meshes/base_link.STL,,Group1^gripper3-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
finger1_link1,0.0163977810461998,-0.000424816867342437,0.078525694814142,0,0,0,0.32613215710018,0,0,0,0,0,0,0,0,0,0,0,0,package://delto/meshes/finger1_link1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://delto/meshes/finger1_link1.STL,,Group10^gripper3-1,Origin_finger1_joint1,Axis_finger1_joint1,finger1_joint1,revolute,0.0150000000430074,0,0.0829999999999999,0,0,0,base_link,0,0,1,10,100,-0.785,0.785,,,,,,,,
finger1_link2,0.0163977810461998,-0.000424816867342437,0.078525694814142,0,0,0,0.32613215710018,0,0,0,0,0,0,0,0,0,0,0,0,package://delto/meshes/finger1_link2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://delto/meshes/finger1_link2.STL,,Group11^gripper3-1,Origin_finger1_joint2,Axis_finger1_joint2,finger1_joint2,revolute,0.0114,-5.8419E-05,0.0091,1.5708,0,1.5657,finger1_link1,0,0,-1,10,100,-1.57,1.57,,,,,,,,
finger1_link3,0.0163977810461998,-0.000424816867342437,0.078525694814142,0,0,0,0.32613215710018,0,0,0,0,0,0,0,0,0,0,0,0,package://delto/meshes/finger1_link3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://delto/meshes/finger1_link3.STL,,Group12^gripper3-1,Origin_finger1_joint3,Axis_finger1_joint3,finger1_joint3,revolute,-0.014938,0.0098942,0.0203,1.5708,-1.5707,-1.557,finger1_link2,0,0,1,10,100,0,1.57,,,,,,,,
finger1_link4,0.0163977810461998,-0.000424816867342437,0.078525694814142,0,0,0,0.32613215710018,0,0,0,0,0,0,0,0,0,0,0,0,package://delto/meshes/finger1_link4.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://delto/meshes/finger1_link4.STL,,Group13^gripper3-1,Origin_finger1_joint4,Axis_finger1_joint4,finger1_joint4,revolute,0.043312,-0.00012363,0,0,0,0,finger1_link3,0,0,1,10,100,0,1.57,,,,,,,,
finger2_link1,0.0163977810461998,-0.000424816867342437,0.078525694814142,0,0,0,0.32613215710018,0,0,0,0,0,0,0,0,0,0,0,0,package://delto/meshes/finger2_link1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://delto/meshes/finger2_link1.STL,,Group6^gripper3-1,Origin_finger2_joint1,Axis_finger2_joint1,finger2_joint1,revolute,-0.0132,0.0196,0.083,0,0,3.1416,base_link,0,0,1,10,100,-0.785,0.785,,,,,,,,
finger2_link2,0.0163977810461998,-0.000424816867342437,0.078525694814142,0,0,0,0.32613215710018,0,0,0,0,0,0,0,0,0,0,0,0,package://delto/meshes/finger2_link2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://delto/meshes/finger2_link2.STL,,Group7^gripper3-1,Origin_finger2_joint2,Axis_finger2_joint2,finger2_joint2,revolute,0.014198,-0.00024724,0.0091,0.017412,-1.5708,3.14,finger2_link1,0,0,-1,10,100,-1.57,1.57,,,,,,,,
finger2_link3,0.0163977810461998,-0.000424816867342437,0.078525694814142,0,0,0,0.32613215710018,0,0,0,0,0,0,0,0,0,0,0,0,package://delto/meshes/finger2_link3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://delto/meshes/finger2_link3.STL,,Group8^gripper3-1,Origin_finger2_joint3,Axis_finger2_joint3,finger2_joint3,revolute,0.010098,0.014801,0.0175,-1.5708,1.5708,0.00011039,finger2_link2,0,0,1,10,100,0,1.57,,,,,,,,
finger2_link4,0.0163977810461998,-0.000424816867342437,0.078525694814142,0,0,0,0.32613215710018,0,0,0,0,0,0,0,0,0,0,0,0,package://delto/meshes/finger2_link4.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://delto/meshes/finger2_link4.STL,,Group9^gripper3-1,Origin_finger2_joint4,Axis_finger2_joint4,finger2_joint4,revolute,-0.043282,0.0016118,0,0,0,0,finger2_link3,0,0,1,10,100,0,1.57,,,,,,,,
finger3_link1,0.0163977810461998,-0.000424816867342437,0.078525694814142,0,0,0,0.32613215710018,0,0,0,0,0,0,0,0,0,0,0,0,package://delto/meshes/finger3_link1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://delto/meshes/finger3_link1.STL,,Group2^gripper3-1,Origin_finger3_joint1,Axis_finger3_joint1,finger3_joint1,revolute,-0.0131999999939963,-0.019600000000007,0.0829999999999988,0,0,3.14159265358979,base_link,0,0,1,10,100,-0.785,0.785,,,,,,,,
finger3_link2,0.0163977810461998,-0.000424816867342437,0.078525694814142,0,0,0,0.32613215710018,0,0,0,0,0,0,0,0,0,0,0,0,package://delto/meshes/finger3_link2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://delto/meshes/finger3_link2.STL,,Group3^gripper3-1,Origin_finger3_joint2,Axis_finger3_joint2,finger3_joint2,revolute,0.0141973935884402,-0.000272057521322411,0.00910000000000048,3.12243250091804,-1.57079631189374,0,finger3_link1,0,0,-1,10,100,-1.57,1.57,,,,,,,,
finger3_link3,0.0163977810461998,-0.000424816867342437,0.078525694814142,0,0,0,0.32613215710018,0,0,0,0,0,0,0,0,0,0,0,0,package://delto/meshes/finger3_link3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://delto/meshes/finger3_link3.STL,,Group4^gripper3-1,Origin_finger3_joint3,Axis_finger3_joint3,finger3_joint3,revolute,0.01025,0.014696,0.0175,1.5708,1.5706,3.1314,finger3_link2,0,0,1,10,100,0,1.57,,,,,,,,
finger3_link4,0.0163977810461998,-0.000424816867342437,0.078525694814142,0,0,0,0.32613215710018,0,0,0,0,0,0,0,0,0,0,0,0,package://delto/meshes/finger3_link4.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://delto/meshes/finger3_link4.STL,,Group5^gripper3-1,Origin_finger3_joint4,Axis_finger2_joint4,finger3_joint4,revolute,-0.043308,-0.0006013,0,0,0,0,finger3_link3,0,0,1,10,100,0,1.57,,,,,,,,
